      0 <= x <      30; y_0      =      61.0 +   0.6333333333333333x; interpolation
      10800 <= x <      10830; y_360      =      8366.0 +   -0.7666666666666667x; interpolation
      10830 <= x <      10860; y_361      =      -1381.0 +   0.13333333333333333x; interpolation
      10860 <= x <      10890; y_362      =      -6449.0 +   0.6x; interpolation
      10890 <= x <      10920; y_363      =      1900.0 +   -0.16666666666666666x; interpolation
      10920 <= x <      10950; y_364      =      -2104.0 +   0.2x; interpolation
      10950 <= x <      10980; y_365      =      1181.0 +   -0.1x; interpolation
      10980 <= x <      11010; y_366      =      -1381.0 +   0.13333333333333333x; interpolation
      11010 <= x <      11040; y_367      =      7793.999999999999 +   -0.7x; interpolation
      11040 <= x <      11070; y_368      =      -6926.0 +   0.6333333333333333x; interpolation
      11070 <= x <      11100; y_369      =      7096.0 +   -0.6333333333333333x; interpolation
      11100 <= x <      11130; y_370      =      -7703.999999999999 +   0.7x; interpolation
      11130 <= x <      11160; y_371      =      7877.999999999999 +   -0.7x; interpolation
      11160 <= x <      11190; y_372      =      -306.0 +   0.03333333333333333x; interpolation
      11190 <= x <      11220; y_373      =      -5155.0 +   0.4666666666666667x; interpolation
      11220 <= x <      11250; y_374      =      5317.0 +   -0.4666666666666667x; interpolation
      11250 <= x <      11280; y_375      =      -6308.0 +   0.5666666666666667x; interpolation
      11280 <= x <      11310; y_376      =      6476.0 +   -0.5666666666666667x; interpolation
      11310 <= x <      11340; y_377      =      -6719.0 +   0.6x; interpolation
      11340 <= x <      11370; y_378      =      6889.0 +   -0.6x; interpolation
      11370 <= x <      11400; y_379      =      -6755.0 +   0.6x; interpolation
      11400 <= x <      11430; y_380      =      845.0 +   -0.06666666666666667x; interpolation
      11430 <= x <      11460; y_381      =      21800.0 +   -1.9x; interpolation
      11460 <= x <      11490; y_382      =      -14872.0 +   1.3x; interpolation
      11490 <= x <      11520; y_383      =      831.0 +   -0.06666666666666667x; interpolation
      11520 <= x <      11550; y_384      =      -8385.0 +   0.7333333333333333x; interpolation
      11550 <= x <      11580; y_385      =      7785.0 +   -0.6666666666666666x; interpolation
      11580 <= x <      11610; y_386      =      -7655.0 +   0.6666666666666666x; interpolation
      11610 <= x <      11640; y_387      =      8212.0 +   -0.7x; interpolation
      11640 <= x <      11670; y_388      =      -7696.0 +   0.6666666666666666x; interpolation
      11670 <= x <      11700; y_389      =      7475.0 +   -0.6333333333333333x; interpolation
      11700 <= x <      11730; y_390      =      -7345.0 +   0.6333333333333333x; interpolation
      11730 <= x <      11760; y_391      =      7513.0 +   -0.6333333333333333x; interpolation
      11760 <= x <      11790; y_392      =      -8167.0 +   0.7x; interpolation
      11790 <= x <      11820; y_393      =      2444.0 +   -0.2x; interpolation
      11820 <= x <      11850; y_394      =      4808.0 +   -0.4x; interpolation
      11850 <= x <      11880; y_395      =      -5857.0 +   0.5x; interpolation
      11880 <= x <      11910; y_396      =      2459.0 +   -0.2x; interpolation
      11910 <= x <      11940; y_397      =      -3893.0 +   0.3333333333333333x; interpolation
      11940 <= x <      11970; y_398      =      2077.0 +   -0.16666666666666666x; interpolation
      11970 <= x <      12000; y_399      =      -1913.0 +   0.16666666666666666x; interpolation
      12000 <= x <      12030; y_400      =      887.0 +   -0.06666666666666667x; interpolation
      12030 <= x <      12060; y_401      =      7704.0 +   -0.6333333333333333x; interpolation
      12060 <= x <      12090; y_402      =      -7974.0 +   0.6666666666666666x; interpolation
      12090 <= x <      12120; y_403      =      8146.0 +   -0.6666666666666666x; interpolation
      12120 <= x <      12150; y_404      =      -7206.0 +   0.6x; interpolation
      12150 <= x <      12180; y_405      =      7779.0 +   -0.6333333333333333x; interpolation
      12180 <= x <      12210; y_406      =      -5619.0 +   0.4666666666666667x; interpolation
      12210 <= x <      12240; y_407      =      5777.0 +   -0.4666666666666667x; interpolation
      12240 <= x <      12270; y_408      =      -1159.0 +   0.1x; interpolation
      12270 <= x <      12300; y_409      =      -6067.0 +   0.5x; interpolation
      12300 <= x <      12330; y_410      =      7053.0 +   -0.5666666666666667x; interpolation
      12330 <= x <      12360; y_411      =      -6921.0 +   0.5666666666666667x; interpolation
      12360 <= x <      12390; y_412      =      5851.0 +   -0.4666666666666667x; interpolation
      12390 <= x <      12420; y_413      =      -6126.0 +   0.5x; interpolation
      12420 <= x <      12450; y_414      =      1326.0 +   -0.1x; interpolation
      12450 <= x <      12480; y_415      =      6306.0 +   -0.5x; interpolation
      12480 <= x <      12510; y_416      =      -7422.0 +   0.6x; interpolation
      12510 <= x <      12540; y_417      =      7590.0 +   -0.6x; interpolation
      12540 <= x <      12570; y_418      =      -1188.0 +   0.1x; interpolation
      12570 <= x <      12600; y_419      =      -5797.0 +   0.4666666666666667x; interpolation
      12600 <= x <      12630; y_420      =      83.0 +   0.0x; interpolation
      12630 <= x <      12660; y_421      =      -1180.0 +   0.1x; interpolation
      12660 <= x <      12690; y_422      =      8104.0 +   -0.6333333333333333x; interpolation
      12690 <= x <      12720; y_423      =      -7124.0 +   0.5666666666666667x; interpolation
      12720 <= x <      12750; y_424      =      6868.0 +   -0.5333333333333333x; interpolation
      12750 <= x <      12780; y_425      =      -6307.0 +   0.5x; interpolation
      12780 <= x <      12810; y_426      =      6899.0 +   -0.5333333333333333x; interpolation
      12810 <= x <      12840; y_427      =      -7619.0 +   0.6x; interpolation
      12840 <= x <      12870; y_428      =      7361.0 +   -0.5666666666666667x; interpolation
      12870 <= x <      12900; y_429      =      -6796.0 +   0.5333333333333333x; interpolation
      12900 <= x <      12930; y_430      =      6534.0 +   -0.5x; interpolation
      12930 <= x <      12960; y_431      =      -5965.0 +   0.4666666666666667x; interpolation
      12960 <= x <      12990; y_432      =      7859.0 +   -0.6x; interpolation
      12990 <= x <      13020; y_433      =      -8595.0 +   0.6666666666666666x; interpolation
      13020 <= x <      13050; y_434      =      7029.0 +   -0.5333333333333333x; interpolation
      13050 <= x <      13080; y_435      =      -6891.0 +   0.5333333333333333x; interpolation
      13080 <= x <      13110; y_436      =      2265.0 +   -0.16666666666666666x; interpolation
      13110 <= x <      13140; y_437      =      -1231.0 +   0.1x; interpolation
      13140 <= x <      13170; y_438      =      5777.0 +   -0.43333333333333335x; interpolation
      13170 <= x <      13200; y_439      =      -6515.0 +   0.5x; interpolation
      13200 <= x <      13230; y_440      =      1405.0 +   -0.1x; interpolation
      13230 <= x <      13260; y_441      =      -1241.0 +   0.1x; interpolation
      13260 <= x <      13290; y_442      =      3179.0 +   -0.23333333333333334x; interpolation
      13290 <= x <      13320; y_443      =      -3466.0 +   0.26666666666666666x; interpolation
      13320 <= x <      13350; y_444      =      3194.0 +   -0.23333333333333334x; interpolation
      13350 <= x <      13380; y_445      =      -2591.0 +   0.2x; interpolation
      13380 <= x <      13410; y_446      =      8113.0 +   -0.6x; interpolation
      13410 <= x <      13440; y_447      =      4984.0 +   -0.36666666666666664x; interpolation
      13440 <= x <      13470; y_448      =      -12936.0 +   0.9666666666666667x; interpolation
      13470 <= x <      13500; y_449      =      8616.0 +   -0.6333333333333333x; interpolation
      13500 <= x <      13530; y_450      =      -9384.0 +   0.7x; interpolation
      13530 <= x <      13560; y_451      =      9107.0 +   -0.6666666666666666x; interpolation
      13560 <= x <      13590; y_452      =      -8069.0 +   0.6x; interpolation
      13590 <= x <      13620; y_453      =      9145.0 +   -0.6666666666666666x; interpolation
      13620 <= x <      13650; y_454      =      -9015.0 +   0.6666666666666666x; interpolation
      13650 <= x <      13680; y_455      =      9185.0 +   -0.6666666666666666x; interpolation
      13680 <= x <      13710; y_456      =      -2215.0 +   0.16666666666666666x; interpolation
      13710 <= x <      13740; y_457      =      9667.0 +   -0.7x; interpolation
      13740 <= x <      13770; y_458      =      10583.0 +   -0.7666666666666667x; interpolation
      13770 <= x <      13800; y_459      =      -22465.0 +   1.6333333333333333x; interpolation
      13800 <= x <      13830; y_460      =      -3145.0 +   0.23333333333333334x; interpolation
      13830 <= x <      13860; y_461      =      7919.0 +   -0.5666666666666667x; interpolation
      13860 <= x <      13890; y_462      =      -8251.0 +   0.6x; interpolation
      13890 <= x <      13920; y_463      =      8880.0 +   -0.6333333333333333x; interpolation
      13920 <= x <      13950; y_464      =      -8752.0 +   0.6333333333333333x; interpolation
      13950 <= x <      13980; y_465      =      8918.0 +   -0.6333333333333333x; interpolation
      13980 <= x <      14010; y_466      =      -9722.0 +   0.7x; interpolation
      14010 <= x <      14040; y_467      =      8958.0 +   -0.6333333333333333x; interpolation
      14040 <= x <      14070; y_468      =      -7422.0 +   0.5333333333333333x; interpolation
      14070 <= x <      14100; y_469      =      8055.0 +   -0.5666666666666667x; interpolation
      14100 <= x <      14130; y_470      =      -9335.0 +   0.6666666666666666x; interpolation
      14130 <= x <      14160; y_471      =      9505.0 +   -0.6666666666666666x; interpolation
      14160 <= x <      14190; y_472      =      -1351.0 +   0.1x; interpolation
      14190 <= x <      14220; y_473      =      -7500.0 +   0.5333333333333333x; interpolation
      14220 <= x <      14250; y_474      =      7668.0 +   -0.5333333333333333x; interpolation
      14250 <= x <      14280; y_475      =      -8482.0 +   0.6x; interpolation
      14280 <= x <      14310; y_476      =      8654.0 +   -0.6x; interpolation
      14310 <= x <      14340; y_477      =      -7564.0 +   0.5333333333333333x; interpolation
      14340 <= x <      14370; y_478      =      8210.0 +   -0.5666666666666667x; interpolation
      14370 <= x <      14400; y_479      =      -9992.0 +   0.7x; interpolation
      14400 <= x <      14430; y_480      =      568.0 +   -0.03333333333333333x; interpolation
      14430 <= x <      14460; y_481      =      10188.0 +   -0.7x; interpolation
      14460 <= x <      14490; y_482      =      -9092.0 +   0.6333333333333333x; interpolation
      14490 <= x <      14520; y_483      =      7813.0 +   -0.5333333333333333x; interpolation
      14520 <= x <      14550; y_484      =      -6223.0 +   0.43333333333333335x; interpolation
      14550 <= x <      14580; y_485      =      5902.0 +   -0.4x; interpolation
      14580 <= x <      14610; y_486      =      -5276.0 +   0.36666666666666664x; interpolation
      14610 <= x <      14640; y_487      =      7873.0 +   -0.5333333333333333x; interpolation
      14640 <= x <      14670; y_488      =      -8231.0 +   0.5666666666666667x; interpolation
      14670 <= x <      14700; y_489      =      9862.0 +   -0.6666666666666666x; interpolation
      14700 <= x <      14730; y_490      =      -11208.0 +   0.7666666666666667x; interpolation
      14730 <= x <      14760; y_491      =      9414.0 +   -0.6333333333333333x; interpolation
      14760 <= x <      14790; y_492      =      -8790.0 +   0.6x; interpolation
      14790 <= x <      14820; y_493      =      -902.0 +   0.06666666666666667x; interpolation
      14820 <= x <      14850; y_494      =      6508.0 +   -0.43333333333333335x; interpolation
      14850 <= x <      14880; y_495      =      -6362.0 +   0.43333333333333335x; interpolation
      14880 <= x <      14910; y_496      =      3062.0 +   -0.2x; interpolation
      14910 <= x <      14940; y_497      =      -2902.0 +   0.2x; interpolation
      14940 <= x <      14970; y_498      =      3074.0 +   -0.2x; interpolation
      14970 <= x <      15000; y_499      =      6567.0 +   -0.43333333333333335x; interpolation
      15000 <= x <      15030; y_500      =      -433.0 +   0.03333333333333333x; interpolation
      15030 <= x <      15060; y_501      =      -7447.0 +   0.5x; interpolation
      15060 <= x <      15090; y_502      =      6609.0 +   -0.43333333333333335x; interpolation
      15090 <= x <      15120; y_503      =      -6972.0 +   0.4666666666666667x; interpolation
      15120 <= x <      15150; y_504      =      -420.0 +   0.03333333333333333x; interpolation
      15150 <= x <      15180; y_505      =      -420.0 +   0.03333333333333333x; interpolation
      15180 <= x <      15210; y_506      =      86.0 +   0.0x; interpolation
      15210 <= x <      15240; y_507      =      8705.0 +   -0.5666666666666667x; interpolation
      15240 <= x <      15270; y_508      =      -8567.0 +   0.5666666666666667x; interpolation
      15270 <= x <      15300; y_509      =      5176.0 +   -0.3333333333333333x; interpolation
      15300 <= x <      15330; y_510      =      -3494.0 +   0.23333333333333334x; interpolation
      15330 <= x <      15360; y_511      =      5704.0 +   -0.36666666666666664x; interpolation
      15360 <= x <      15390; y_512      =      -7096.0 +   0.4666666666666667x; interpolation
      15390 <= x <      15420; y_513      =      10859.0 +   -0.7x; interpolation
      15420 <= x <      15450; y_514      =      -10215.0 +   0.6666666666666666x; interpolation
      15450 <= x <      15480; y_515      =      9870.0 +   -0.6333333333333333x; interpolation
      15480 <= x <      15510; y_516      =      66.0 +   0.0x; interpolation
      15510 <= x <      15540; y_517      =      66.0 +   0.0x; interpolation
      15540 <= x <      15570; y_518      =      -8222.0 +   0.5333333333333333x; interpolation
      15570 <= x <      15600; y_519      =      82.0 +   0.0x; interpolation
      15600 <= x <      15630; y_520      =      2162.0 +   -0.13333333333333333x; interpolation
      15630 <= x <      15660; y_521      =      -3569.0 +   0.23333333333333334x; interpolation
      15660 <= x <      15690; y_522      =      1129.0 +   -0.06666666666666667x; interpolation
      15690 <= x <      15720; y_523      =      -2009.0 +   0.13333333333333333x; interpolation
      15720 <= x <      15750; y_524      =      2183.0 +   -0.13333333333333333x; interpolation
      15750 <= x <      15780; y_525      =      9533.0 +   -0.6x; interpolation
      15780 <= x <      15810; y_526      =      -10455.0 +   0.6666666666666666x; interpolation
      15810 <= x <      15840; y_527      =      10625.0 +   -0.6666666666666666x; interpolation
      15840 <= x <      15870; y_528      =      -10495.0 +   0.6666666666666666x; interpolation
      15870 <= x <      15900; y_529      =      -444.0 +   0.03333333333333333x; interpolation
      15900 <= x <      15930; y_530      =      616.0 +   -0.03333333333333333x; interpolation
      15930 <= x <      15960; y_531      =      10705.0 +   -0.6666666666666666x; interpolation
      15960 <= x <      15990; y_532      =      -11107.0 +   0.7x; interpolation
      15990 <= x <      16020; y_533      =      11279.0 +   -0.7x; interpolation
      16020 <= x <      16050; y_534      =      -10081.0 +   0.6333333333333333x; interpolation
      16050 <= x <      16080; y_535      =      17739.0 +   -1.1x; interpolation
      16080 <= x <      16110; y_536      =      12915.0 +   -0.8x; interpolation
      16110 <= x <      16140; y_537      =      -23601.0 +   1.4666666666666666x; interpolation
      16140 <= x <      16170; y_538      =      -5309.0 +   0.3333333333333333x; interpolation
      16170 <= x <      16200; y_539      =      -2075.0 +   0.13333333333333333x; interpolation
      16200 <= x <      16230; y_540      =      11425.0 +   -0.7x; interpolation
      16230 <= x <      16260; y_541      =      -9674.0 +   0.6x; interpolation
      16260 <= x <      16290; y_542      =      9296.0 +   -0.5666666666666667x; interpolation
      16290 <= x <      16320; y_543      =      -9709.0 +   0.6x; interpolation
      16320 <= x <      16350; y_544      =      9331.0 +   -0.5666666666666667x; interpolation
      16350 <= x <      16380; y_545      =      -8109.0 +   0.5x; interpolation
      16380 <= x <      16410; y_546      =      8271.0 +   -0.5x; interpolation
      16410 <= x <      16440; y_547      =      -10327.0 +   0.6333333333333333x; interpolation
      16440 <= x <      16470; y_548      =      10497.0 +   -0.6333333333333333x; interpolation
      16470 <= x <      16500; y_549      =      -9816.0 +   0.6x; interpolation
      16500 <= x <      16530; y_550      =      9984.0 +   -0.6x; interpolation
      16530 <= x <      16560; y_551      =      -8199.0 +   0.5x; interpolation
      16560 <= x <      16590; y_552      =      8361.0 +   -0.5x; interpolation
      16590 <= x <      16620; y_553      =      -9888.0 +   0.6x; interpolation
      16620 <= x <      16650; y_554      =      10056.0 +   -0.6x; interpolation
      16650 <= x <      16680; y_555      =      -10479.0 +   0.6333333333333333x; interpolation
      16680 <= x <      16710; y_556      =      10093.0 +   -0.6x; interpolation
      16710 <= x <      16740; y_557      =      -7174.0 +   0.43333333333333335x; interpolation
      16740 <= x <      16770; y_558      =      7334.0 +   -0.43333333333333335x; interpolation
      16770 <= x <      16800; y_559      =      -9436.0 +   0.5666666666666667x; interpolation
      16800 <= x <      16830; y_560      =      10164.0 +   -0.6x; interpolation
      16830 <= x <      16860; y_561      =      -10032.0 +   0.6x; interpolation
      16860 <= x <      16890; y_562      =      10762.0 +   -0.6333333333333333x; interpolation
      16890 <= x <      16920; y_563      =      -9506.0 +   0.5666666666666667x; interpolation
      16920 <= x <      16950; y_564      =      8542.0 +   -0.5x; interpolation
      16950 <= x <      16980; y_565      =      -10103.0 +   0.6x; interpolation
      16980 <= x <      17010; y_566      =      10273.0 +   -0.6x; interpolation
      17010 <= x <      17040; y_567      =      -9572.0 +   0.5666666666666667x; interpolation
      17040 <= x <      17070; y_568      =      9740.0 +   -0.5666666666666667x; interpolation
      17070 <= x <      17100; y_569      =      -8468.0 +   0.5x; interpolation
      17100 <= x <      17130; y_570      =      -1628.0 +   0.1x; interpolation
      17130 <= x <      17160; y_571      =      11505.0 +   -0.6666666666666666x; interpolation
      17160 <= x <      17190; y_572      =      -11947.0 +   0.7x; interpolation
      17190 <= x <      17220; y_573      =      12692.0 +   -0.7333333333333333x; interpolation
      17220 <= x <      17250; y_574      =      -9694.0 +   0.5666666666666667x; interpolation
      17250 <= x <      17280; y_575      =      9856.0 +   -0.5666666666666667x; interpolation
      17280 <= x <      17310; y_576      =      -12032.0 +   0.7x; interpolation
      17310 <= x <      17340; y_577      =      662.0 +   -0.03333333333333333x; interpolation
      17340 <= x <      17370; y_578      =      9910.0 +   -0.5666666666666667x; interpolation
      17370 <= x <      17400; y_579      =      -8039.0 +   0.4666666666666667x; interpolation
      17400 <= x <      17430; y_580      =      10521.0 +   -0.6x; interpolation
      17430 <= x <      17460; y_581      =      -6909.0 +   0.4x; interpolation
      17460 <= x <      17490; y_582      =      4731.0 +   -0.26666666666666666x; interpolation
      17490 <= x <      17520; y_583      =      -9261.0 +   0.5333333333333333x; interpolation
      17520 <= x <      17550; y_584      =      8843.0 +   -0.5x; interpolation
      17550 <= x <      17580; y_585      =      -9877.0 +   0.5666666666666667x; interpolation
      17580 <= x <      17610; y_586      =      10633.0 +   -0.6x; interpolation
      17610 <= x <      17640; y_587      =      -9912.0 +   0.5666666666666667x; interpolation
      17640 <= x <      17670; y_588      =      9492.0 +   -0.5333333333333333x; interpolation
      17670 <= x <      17700; y_589      =      1835.0 +   -0.1x; interpolation
      17700 <= x <      17730; y_590      =      -11735.0 +   0.6666666666666666x; interpolation
      17730 <= x <      17760; y_591      =      11905.0 +   -0.6666666666666666x; interpolation
      17760 <= x <      17790; y_592      =      -11775.0 +   0.6666666666666666x; interpolation
      17790 <= x <      17820; y_593      =      11945.0 +   -0.6666666666666666x; interpolation
      17820 <= x <      17850; y_594      =      -11221.0 +   0.6333333333333333x; interpolation
      17850 <= x <      17880; y_595      =      11984.0 +   -0.6666666666666666x; interpolation
      17880 <= x <      17910; y_596      =      -13047.999999999998 +   0.7333333333333333x; interpolation
      17910 <= x <      17940; y_597      =      12623.0 +   -0.7x; interpolation
      17940 <= x <      17970; y_598      =      -10699.0 +   0.6x; interpolation
      17970 <= x <      18000; y_599      =      10865.0 +   -0.6x; interpolation
      18000 <= x <      18030; y_600      =      -10735.0 +   0.6x; interpolation
      18030 <= x <      18060; y_601      =      11502.0 +   -0.6333333333333333x; interpolation
      18060 <= x <      18090; y_602      =      -12578.0 +   0.7x; interpolation
      18090 <= x <      18120; y_603      =      12145.0 +   -0.6666666666666666x; interpolation
      18120 <= x <      18150; y_604      =      -12015.0 +   0.6666666666666666x; interpolation
      18150 <= x <      18180; y_605      =      12790.0 +   -0.7x; interpolation
      18180 <= x <      18210; y_606      =      -12662.0 +   0.7x; interpolation
      18210 <= x <      18240; y_607      =      12225.0 +   -0.6666666666666666x; interpolation
      18240 <= x <      18270; y_608      =      -10879.0 +   0.6x; interpolation
      18270 <= x <      18300; y_609      =      11045.0 +   -0.6x; interpolation
      18300 <= x <      18330; y_610      =      -10305.0 +   0.5666666666666667x; interpolation
      18330 <= x <      18360; y_611      =      9858.0 +   -0.5333333333333333x; interpolation
      18360 <= x <      18390; y_612      =      -11562.0 +   0.6333333333333333x; interpolation
      18390 <= x <      18420; y_613      =      4989.0 +   -0.26666666666666666x; interpolation
      18420 <= x <      18450; y_614      =      31391.0 +   -1.7x; interpolation
      18450 <= x <      18480; y_615      =      1256.0 +   -0.06666666666666667x; interpolation
      18480 <= x <      18510; y_616      =      -36320.0 +   1.9666666666666666x; interpolation
      18510 <= x <      18540; y_617      =      12423.0 +   -0.6666666666666666x; interpolation
      18540 <= x <      18570; y_618      =      -12297.0 +   0.6666666666666666x; interpolation
      18570 <= x <      18600; y_619      =      11844.0 +   -0.6333333333333333x; interpolation
      18600 <= x <      18630; y_620      =      -12956.0 +   0.7x; interpolation
      18630 <= x <      18660; y_621      =      13126.0 +   -0.7x; interpolation
      18660 <= x <      18690; y_622      =      -11754.0 +   0.6333333333333333x; interpolation
      18690 <= x <      18720; y_623      =      11920.0 +   -0.6333333333333333x; interpolation
      18720 <= x <      18750; y_624      =      -12416.0 +   0.6666666666666666x; interpolation
      18750 <= x <      18780; y_625      =      11959.0 +   -0.6333333333333333x; interpolation
      18780 <= x <      18810; y_626      =      -9325.0 +   0.5x; interpolation
      18810 <= x <      18840; y_627      =      -3055.0 +   0.16666666666666666x; interpolation
      18840 <= x <      18870; y_628      =      1341.0 +   -0.06666666666666667x; interpolation
      18870 <= x <      18900; y_629      =      712.0 +   -0.03333333333333333x; interpolation
      18900 <= x <      18930; y_630      =      8902.0 +   -0.4666666666666667x; interpolation
      18930 <= x <      18960; y_631      =      -8766.0 +   0.4666666666666667x; interpolation
      18960 <= x <      18990; y_632      =      8298.0 +   -0.43333333333333335x; interpolation
      18990 <= x <      19020; y_633      =      -9426.0 +   0.5x; interpolation
      19020 <= x <      19050; y_634      =      -550.0 +   0.03333333333333333x; interpolation
      19050 <= x <      19080; y_635      =      12150.0 +   -0.6333333333333333x; interpolation
      19080 <= x <      19110; y_636      =      -12654.0 +   0.6666666666666666x; interpolation
      19110 <= x <      19140; y_637      =      13463.0 +   -0.7x; interpolation
      19140 <= x <      19170; y_638      =      -11419.0 +   0.6x; interpolation
      19170 <= x <      19200; y_639      =      11585.0 +   -0.6x; interpolation
      19200 <= x <      19230; y_640      =      -12735.0 +   0.6666666666666666x; interpolation
      19230 <= x <      19260; y_641      =      12905.0 +   -0.6666666666666666x; interpolation
      19260 <= x <      19290; y_642      =      -12133.0 +   0.6333333333333333x; interpolation
      19290 <= x <      19320; y_643      =      12301.0 +   -0.6333333333333333x; interpolation
      19320 <= x <      19350; y_644      =      -12171.0 +   0.6333333333333333x; interpolation
      19350 <= x <      19380; y_645      =      11694.0 +   -0.6x; interpolation
      19380 <= x <      19410; y_646      =      -12208.0 +   0.6333333333333333x; interpolation
      19410 <= x <      19440; y_647      =      13025.0 +   -0.6666666666666666x; interpolation
      19440 <= x <      19470; y_648      =      -9007.0 +   0.4666666666666667x; interpolation
      19470 <= x <      19500; y_649      =      8516.0 +   -0.43333333333333335x; interpolation
      19500 <= x <      19530; y_650      =      -11634.0 +   0.6x; interpolation
      19530 <= x <      19560; y_651      =      12453.0 +   -0.6333333333333333x; interpolation
      19560 <= x <      19590; y_652      =      -12975.0 +   0.6666666666666666x; interpolation
      19590 <= x <      19620; y_653      =      13145.0 +   -0.6666666666666666x; interpolation
      19620 <= x <      19650; y_654      =      -13015.0 +   0.6666666666666666x; interpolation
      19650 <= x <      19680; y_655      =      13185.0 +   -0.6666666666666666x; interpolation
      19680 <= x <      19710; y_656      =      -11743.0 +   0.6x; interpolation
      19710 <= x <      19740; y_657      =      11252.0 +   -0.5666666666666667x; interpolation
      19740 <= x <      19770; y_658      =      -11778.0 +   0.6x; interpolation
      19770 <= x <      19800; y_659      =      13923.0 +   -0.7x; interpolation
      19800 <= x <      19830; y_660      =      -14456.999999999998 +   0.7333333333333333x; interpolation
      19830 <= x <      19860; y_661      =      12644.0 +   -0.6333333333333333x; interpolation
      19860 <= x <      19890; y_662      =      -3244.0 +   0.16666666666666666x; interpolation
      19890 <= x <      19920; y_663      =      -5896.0 +   0.3x; interpolation
      19920 <= x <      19950; y_664      =      5392.0 +   -0.26666666666666666x; interpolation
      19950 <= x <      19980; y_665      =      -7908.0 +   0.4x; interpolation
      19980 <= x <      20010; y_666      =      8742.0 +   -0.43333333333333335x; interpolation
      20010 <= x <      20040; y_667      =      -7933.0 +   0.4x; interpolation
      20040 <= x <      20070; y_668      =      8099.0 +   -0.4x; interpolation
      20070 <= x <      20100; y_669      =      -7287.999999999999 +   0.36666666666666664x; interpolation
      20100 <= x <      20130; y_670      =      6782.0 +   -0.3333333333333333x; interpolation
      20130 <= x <      20160; y_671      =      -5967.0 +   0.3x; interpolation
      20160 <= x <      20190; y_672      =      5457.0 +   -0.26666666666666666x; interpolation
      20190 <= x <      20220; y_673      =      -5311.0 +   0.26666666666666666x; interpolation
      20220 <= x <      20250; y_674      =      5473.0 +   -0.26666666666666666x; interpolation
      20250 <= x <      20280; y_675      =      -4652.0 +   0.23333333333333334x; interpolation
      20280 <= x <      20310; y_676      =      -3300.0 +   0.16666666666666666x; interpolation
      20310 <= x <      20340; y_677      =      2793.0 +   -0.13333333333333333x; interpolation
      20340 <= x <      20370; y_678      =      -2631.0 +   0.13333333333333333x; interpolation
      20370 <= x <      20400; y_679      =      2122.0 +   -0.1x; interpolation
      20400 <= x <      20430; y_680      =      -1958.0 +   0.1x; interpolation
      20430 <= x <      20460; y_681      =      1447.0 +   -0.06666666666666667x; interpolation
      20460 <= x <      20490; y_682      =      83.0 +   0.0x; interpolation
      20490 <= x <      20520; y_683      =      83.0 +   0.0x; interpolation
      20520 <= x <      20550; y_684      =      -601.0 +   0.03333333333333333x; interpolation
      20550 <= x <      20580; y_685      =      15153.999999999998 +   -0.7333333333333333x; interpolation
      20580 <= x <      20610; y_686      =      22700.000000000004 +   -1.1x; interpolation
      20610 <= x <      20640; y_687      =      2777.0 +   -0.13333333333333333x; interpolation
      20640 <= x <      20670; y_688      =      -26119.0 +   1.2666666666666666x; interpolation
      20670 <= x <      20700; y_689      =      -15094.999999999998 +   0.7333333333333333x; interpolation
      20700 <= x <      20730; y_690      =      15264.999999999998 +   -0.7333333333333333x; interpolation
      20730 <= x <      20760; y_691      =      -12375.0 +   0.6x; interpolation
      20760 <= x <      20790; y_692      =      12537.0 +   -0.6x; interpolation
      20790 <= x <      20820; y_693      =      -14489.999999999998 +   0.7x; interpolation
      20820 <= x <      20850; y_694      =      14657.999999999998 +   -0.7x; interpolation
      20850 <= x <      20880; y_695      =      -15226.999999999998 +   0.7333333333333333x; interpolation
      20880 <= x <      20910; y_696      =      14700.999999999998 +   -0.7x; interpolation
      20910 <= x <      20940; y_697      =      -14572.999999999998 +   0.7x; interpolation
      20940 <= x <      20970; y_698      =      14045.0 +   -0.6666666666666666x; interpolation
      20970 <= x <      21000; y_699      =      -12517.0 +   0.6x; interpolation
      21000 <= x <      21030; y_700      =      12683.0 +   -0.6x; interpolation
      21030 <= x <      21060; y_701      =      -13254.0 +   0.6333333333333333x; interpolation
      21060 <= x <      21090; y_702      =      14124.0 +   -0.6666666666666666x; interpolation
      21090 <= x <      21120; y_703      =      -13293.0 +   0.6333333333333333x; interpolation
      21120 <= x <      21150; y_704      =      13459.0 +   -0.6333333333333333x; interpolation
      21150 <= x <      21180; y_705      =      -13331.0 +   0.6333333333333333x; interpolation
      21180 <= x <      21210; y_706      =      13497.0 +   -0.6333333333333333x; interpolation
      21210 <= x <      21240; y_707      =      -15489.999999999998 +   0.7333333333333333x; interpolation
      21240 <= x <      21270; y_708      =      15661.999999999998 +   -0.7333333333333333x; interpolation
      21270 <= x <      21300; y_709      =      -14116.0 +   0.6666666666666666x; interpolation
      21300 <= x <      21330; y_710      =      13574.0 +   -0.6333333333333333x; interpolation
      21330 <= x <      21360; y_711      =      -14155.0 +   0.6666666666666666x; interpolation
      21360 <= x <      21390; y_712      =      14325.0 +   -0.6666666666666666x; interpolation
      21390 <= x <      21420; y_713      =      6482.0 +   -0.3x; interpolation
      21420 <= x <      21450; y_714      =      -6370.0 +   0.3x; interpolation
      21450 <= x <      21480; y_715      =      -13520.0 +   0.6333333333333333x; interpolation
